title,heading,content,tokens,summary
Get Started with Choreo,Create and publish a REST API - Step 1.3: Test the REST API,"Let's test the `readingList` REST API via Choreo's Open API Console by following the steps given below:
1. Click **Test** in the left pane, and be sure that you are in the **OpenAPI Console** view. If not, click **OpenAPI Console** in the left pane.
2. Expand the **POST** method and click **Try it out**.
4. Update the request body so that the parameters have the values given below:
**author**    | `Bram Stoker`
**status**    | `to_read`
**title**     | `Dracula`
The request body should look as follows:

```json
    {
    ""author"": ""Bram Stoker"",
    ""status"": ""To Read"",
    ""title"": ""Dracula""
    }
```
5. Click **Execute**. Check the **Server Response** section. On successful invocation, you will receive the `200` HTTP code. Similarly, you can expand and try out the **GET** and **DELETE** methods.",255,"Title: Get Started with Choreo
Heading: Create and publish a REST API - Step 1.3: Test the REST API
Keywords: REST API, Open API Console, POST, author, status, title, request body, json, GET, DELETE, Server Response, HTTP code.

This text provides instructions for testing the readingList REST API via Choreo's Open API Console. It explains how to use the POST, GET, and DELETE methods, including how to update the request body parameters with values for author, status, and title. It also explains how to check the Server Response section for a successful invocation, which will show a HTTP code of 200."
Get Started with Choreo,Create and publish a REST API - Step 1.4: Publish the REST API,"Now that your API is tested, let's publish it and make it available for applications to consume.

#### Step 1.4.1: Update the CORS configuration
The application developer in this scenario calls the API from a different domain to Choreo (i.e., Vercel). By default, web browsers block these calls for security reasons. To enable the application to call the API, update the CORS configuration as follows:
1. In the left pane, click **Manage**.
2. Click **Settings**.
3. Under **API Settings** click **Edit**.
4. Toggle the **CORS Configuration** switch to enable the CORS configuration.
5. Select the **Access Control Allow Credentials** checkbox.
6. In the **Apply to Development** pane that opens on the right-hand side of the page, enter a meaningful message. Then click **Apply**.
7. Click **Save**.

#### Step 1.4.2: Publish the REST API
We are now ready to publish the REST API. To do so, follow the steps given below:
1. In the **Manage** tab, click **Lifecycle**.
2. Click **Publish** to publish the REST API to the Developer Portal. External applications can subscribe to the API via the Developer Portal.
3. To access the Developer Portal, click **Go to DevPortal**. The readingList REST API will open in the Developer Portal.",315,"Title: Get Started with Choreo
Heading: Create and publish a REST API - Step 1.4: Publish the REST API
Keywords: CORS configuration, publish REST API, Developer Portal, readingList REST API.

Summary: This text explains the steps necessary to publish a REST API so that it can be consumed by applications. It includes instructions for updating the CORS configuration and publishing the API to the Developer Portal. Finally, it directs readers to the Developer Portal to access the readingList REST API."
Get Started with Choreo,Consume the REST API,"You have published the readingList REST API to the Developer Portal where application developers can find it and subscribe their applications to it. To consume the `readingList` REST API, let's create an application, subscribe it to the REST API, generate keys, and invoke the API.",56,"Title: Get Started with Choreo
Heading: Consume the REST API
Keywords: readingList, REST API, Developer Portal, applications, subscribe, generate keys, invoke API.

Summary: This text explains the process of consuming the readingList REST API. It involves creating an application, subscribing to the API, generating keys and invoking the API. The API can be found on the Developer Portal."
Get Started with Choreo,Consume the REST API - Step 2.1: Create an application,"An application in the Developer Portal is a logical representation of a physical application such as a mobile app, web app, device, etc.
Let's create the application to consume the `readingList` REST API by following the steps given below:
1. In the top menu of the Developer Portal, click **Applications**.
2. Click **Create**.
3. Enter a name for the application (for example, `readingListApp` and click **Create**. Your Application will open on a separate page.",107,"Title: Get Started with Choreo
Heading: Consume the REST API - Step 2.1: Create an application
Keywords: Application, Developer Portal, physical application, mobile app, web app, device, REST API, Create, name, readingListApp

Summary: An application in the Developer Portal is a logical representation of a physical application such as a mobile app, web app, or device. To create the application to consume the `readingList` REST API, follow the steps in the Developer Portal to create an application with a name (for example, `readingListApp`)."
Get Started with Choreo,Consume the REST API - Step 2.2: Subscribe to the API,"To consume the REST API, the `readingListApp` application needs to subscribe to it. To subscribe your application to the API, follow the steps given below:
1. In the left navigation menu, click **Subscriptions**.
2. Click **Add APIs**.
3. Find your REST API and click **Add**.
Now your application has subscribed to the `readingList` REST API.",86,"Title: Get Started with Choreo
Heading: Consume the REST API - Step 2.2: Subscribe to the API
Keywords: REST API, readingListApp, Subscriptions, Add APIs, Add

Summary: The readingListApp application needs to subscribe to the REST API in order to consume it. To do this, the user needs to go to the Subscriptions section, click Add APIs, then find their REST API and click Add. After this, the application will have subscribed to the readingList REST API."
Get Started with Choreo,Consume the REST API - Step 2.3: Deploy a Web application and invoke the REST API,"At present, any user can invoke the `readingList` REST API via the `readingListApp` application (i.e., using its token) and update the reading list. However, if a user sends a request to retrieve the reading list, the response will also show entries by other users. To allow multiple users to use the application and maintain personal reading lists, you need a front-end application that allows each user to log in with a unique user ID.
In this step, let's deploy a pre-designed front-end application. This application is designed to personalize the readingList based on the user ID that it obtains from its identity provider. To enable the application to obtain the user ID, let's configure Asgardeo as the identity provider.
- Step 2.3.1: Configure Asgardeo to integrate with your application
- Step 2.3.2: Configure the front-end application
- Step 2.3.3: Configure Asgardeo as an identity provider for Choreo
- Step 2.3.4: Create a user in Asgardeo
- Step 2.3.5: Invoke the REST API",244,"Title: Get Started with Choreo
Heading: Consume the REST API - Step 2.3: Deploy a Web application and invoke the REST API
Keywords: readingList, REST API, token, user ID, front-end application, Asgardeo, identity provider, Choreo, user.

Summary: In order to allow multiple users to use the `readingList` REST API and maintain their own personal reading lists, a front-end application needs to be deployed that can obtain each user's unique user ID from its identity provider. To enable this, Asgardeo needs to be configured as the identity provider, a user needs to be created in Asgardeo, and the REST API needs to be invoked."
Deploy a Web application and invoke the REST API,Step 2.3.1: Configure Asgardeo to integrate with your application,"To generate the configurations required for end users to log in to the front-end application (for example, the access token, redirect URLs, etc.), let's create an application in Asgardeo by following the steps given below:
1. Access Asgardeo at https://console.asgardeo.io/ and log in with the same credentials with which you logged in to Choreo.
2. Click **Single-Page Application** to start adding a single-page application.
3. Enter a name for the single-page application and enter `https://localhost:5173` as the authorized redirect URL.
4. Click **Register**.
5. Click **Protocol** to open the **Protocol** tab, and make the following changes:
    1. In the **Authorized redirect URLs** field, enter `http://localhost:5173/`. Next, click the **Add** icon.
    2. Under **Access Token**, select **JWT** as the token type.
    3. Scroll down to the **ID Token** section and enter the following value in the **Audience** field.
        `https://sts.choreo.dev/oauth2/token`
         Click **Add URL** to save this value.
    4. Click **Update**.
7. Click **Quick Start**, and then click the **React** icon (because you will be using a pre-configured sample react front-end application). A separate page opens for your application with **Integrate Your Application** option selected by default.
    !!! info   
        Under this option, you will see some instructions to configure the application. Some of these steps are already completed for the pre-configured front-end application you will be using.
Next, you need to pass the configurations displayed on this page to your front-end application.",429,"Title: Deploy a Web application and invoke the REST API
Heading: Step 2.3.1: Configure Asgardeo to integrate with your application
Keywords: Asgardeo, Single-Page Application, Authorized redirect URLs, Access Token, JWT, Audience, React, Integrate Your Application

This text explains the steps to create an application in Asgardeo to generate the configurations required for end users to log in to the front-end application. It explains how to add a single-page application, enter a name, set the authorized redirect URL, select JWT as the token type, enter the audience value, and configure the application with the React icon. It also explains how to pass the configurations displayed to the front-end application."
Deploy a Web application and invoke the REST API,Step 2.3.2: Configure the front-end application,"To configure the front-end application by defining the ports it needs to run on, adding the endpoint to the `readingList API`, etc., follow the steps given below:
1. Clone `version-1` branch in your fork of https://github.com/wso2/choreo-examples/tree/version-1.
2. Open the cloned repository using an IDE (for example Visual Studio Code), and make the following changes.
    1. Navigate to the `choreo-reading-list-application-example/reading-list-front-end/.env.example` file and rename it to `.env`.
    2. Enter values for the parameters in the `.env` file as given below.
    3. On the page of the application you created in Asgardeo, **Configure the AuthProvider** section displays some parameters with values. You can copy those values for some of these parameters in the `choreo-reading-list-application-example/reading-list-front-end/.env` file based on the mapping given in the following table:
    `VITE_SIGNIN_REDIRECT_URL`  | `signInRedirectURL`
    `VITE_SIGNOUT_REDIRECT_URL` | `signOutRedirectURL`
    `VITE_ASG_CLIENT_ID`        | `clientID`
    `VITE_BASE_URL`             | `baseUrl`
    4. Enter values for the rest of the parameters as given below:
        - `VITE_RESOURCE_SERVER_URL`
            1. On the page for the `readingList` REST API in the Choreo Console, click **Test** to open the **Test** tab.
            2. In the **Open API Console** pane, copy the API endpoint.
            3. Add `/books` to the end of the API endpoint you copied to complete the resource server URL.
        - `VITE_CHOREO_CLIENT_ID`
            1. Access the Choreo Developer Portal at https://devportal.choreo.dev/.
            2. In the top menu, click **Applications** and then click the **readingListApp** application.
            3. In the left navigation menu, click **Production Keys**.
            4. Copy the value in the **Consumer Key**field and paste it as the value of the `VITE_CHOREO_CLIENT_ID` parameter.
        - `VITE_ORG_HANDLE`
            This is the value displayed next to the **Asgardeo** logo in the Asgardeo Console.
        - `VITE_STS_TOKEN_ENDPOINT`
            1. In the Choreo Developer Portal, open the **readingListApp** application.
            2. Copy the value in the **Token Endpoint** field and paste it as the value of the `VITE_STS_TOKEN_ENDPOINT` parameter.
Now you have configured your front-end application. Next, you need to configure Asgardeo as the identity provider for your application.",846,"Title: Deploy a Web application and invoke the REST API
Heading: Step 2.3.2: Configure the front-end application
Keywords: configure, front-end, application, ports, endpoint, readingList API, clone, branch, fork, Visual Studio Code, .env, parameters, AuthProvider, Asgardeo, identity provider. 

This text provides a step-by-step guide on how to configure a front-end application by defining the ports it needs to run on, adding the endpoint to the readingList API, etc. It outlines how to clone the version-1 branch from the given repository using an IDE like Visual Studio Code, make changes to the .env file, enter the relevant values for the parameters, and then configure Asgardeo as the identity provider for the application."
Deploy a Web application and invoke the REST API,Step 2.3.3: Configure Asgardeo as an identity provider for Choreo,"Let's deploy a pre-designed front-end application. This application is designed to personalize the readingList based on the user ID that it obtains from its identity provider. To enable the application to obtain the user ID, let's configure Asgardeo as the identity provider by following the steps given below:
!!! info
    To configure an identity provider for Choreo, you need administration privileges in Choreo.
1. In the Choreo Console, open the **Home** page.
2. In the left navigation menu, click **Settings**.
3. Click API Management and under **Identity Providers**, click **+ Add Provider**.
4. In the list of identity providers, click **Asgardeo**.
5. In the **Asgardeo** dialog, enter the following information:
    1. In the **Name** and **Description** fields, enter a name and a description for the identity provider.
    2. To get the well-known URL, follow the steps given below:
        1. Navigate to Asgardeo and open the single-page application you created.
        2. Click **Info** to view the endpoints of the application.
        3. Copy the endpoint in the **Discovery** field.
        4. Navigate to the Choreo Console and paste the URL you copied in the **Well-Known URL** field in the **Asgardeo** dialog.
    3. Click **Next**, and then click **Add**.
Now you have successfully configured Asgardeo as the identity provider for the front-end application.",377,"Title: Deploy a Web application and invoke the REST API
Heading: Step 2.3.3: Configure Asgardeo as an identity provider for Choreo
Keywords: pre-designed front-end application, personalize readingList, user ID, configure Asgardeo, identity provider, Choreo Console, Home page, Settings, API Management, Identity Providers, Asgardeo, Name, Description, well-known URL, single-page application, Info, Discovery, Next, Add.

Summary: This text outlines the steps to configure Asgardeo as the identity provider for a pre-designed front-end application in order to personalize the readingList based on the user ID obtained from Asgardeo. The steps include navigating to the Choreo Console to open the Home page and clicking Settings, API Management and Identity Providers. The user needs to enter a name and description for the identity provider and obtain the well-known URL from the single-page application created in Asgardeo. Finally, the user needs to click Next and Add to complete the configuration."
Deploy a Web application and invoke the REST API,Step 2.3.4: Create a user in Asgardeo,"To sign in to the `readingListApp` application and create private reading lists, the end users require user IDs. The end users can self-register these user IDs in Asgardeo or request an Asgardeo user with administration privileges to add them. For more information, see Asgardeo Documentation - Manage users (https://wso2.com/asgardeo/docs/guides/users/manage-customers/#onboard-a-user). For this use case, you will play the role of an Asgardeo user with administration privileges who registers the user IDs. To define a user for the readingListApp application, follow the steps given below:
1. Navigate to the Asgardeo Console.
2. On the **Home** page, click **View users** to open the **Users** page.
3. Click **Add User**.
4. In the **Add User** dialog, enter your email, first name, and last name, and click **Finish**. Asgardeo will send you an email to set your password.  It will also open your user profile on a separate page.
5. In your user profile, toggle the **Lock User** switch to unlock your profile.
6. In the email you received from Asgardeo (with the subject **Here is your new account in the organization <ORGANIZATION_ID>**), click **Set Password**.
7. Enter a password that matches the given criteria in the **Enter new password** and **Confirm password** fields, and click **Proceed**.
!!! tip 
    You can create more users to test your front-end application.",354,"Title: Deploy a Web application and invoke the REST API
Heading: Step 2.3.4: Create a user in Asgardeo
Keywords: readingListApp, user IDs, Asgardeo, administration privileges, Home page, Add User, email, first name, last name, user profile, Lock User switch, Set Password, password, organization ID.

This text provides instructions for users with administration privileges on Asgardeo to register user IDs for the `readingListApp` application. The steps include navigating to the Asgardeo Console, viewing users, adding a user, unlocking the user profile, setting a password, and then creating more users to test the front-end application."
