title,heading,content,source,tokens,id
Root Cause Analysis,Root Cause Analysis,Choreo provides insightful observability features to drill down to the request level and confirm the root cause for anomalies you detect. This guide describes how you can detect anomalies and perform root cause analysis on a service deployed in Choreo.,https://wso2.com/choreo/docs/observe-and-analyze/observe/root-cause-analysis/,47,D10
Programmatic Access to Insights API,Programmatic Access to Insights API,"
The Insights page in the Choreo Console displays data fetched from the Insights API exposed over the Internet. However, in some scenarios, you may need to fetch data from external systems and implement custom dashboards to display this data.Choreo provides a secure and user-friendly method to achieve this requirement. The steps are outlined below:
h2 -> Become a member of the Choreo System organization
Access the Developer Portal of the Choreo System organization via https://devportal.choreo.dev/choreosystem and proceed to sign in using your credentials.
Click on Applications.
To get access to the Choreo System organization, click Request Access.
{.cInlineImage-full}Once you request access, you are automatically added as a member of the Choreo System organization.Verify this by checking whether the Choreo System organization appears in your list of organizations.{.cInlineImage-full}
h2 -> Create an application and generate keys
To create an application and generate keys, follow the steps below:Click on the Applications link to create a new application in the Choreo System organization.
{.cInlineImage-full}
Enter a suitable name and create the application.
{.cInlineImage-half}
To subscribe to the Insights API via the newly created application, click Subscriptions in the left navigator, and then click Add for the Insights API.
{.cInlineImage-full}
To generate credentials for the application, click  Production Keys -> OAuth 2.0 Tokens in the left navigator, and then click Generate Credentials. This generates a consumer key and secret for the created application.
{.cInlineImage-full}
Specify a suitable token expiry time and click Update.
{.cInlineImage-full}
Execute the following curl command to generate an access token:
curl --location --request POST 'https://sts.choreo.dev/oauth2/token' \
--header 'Authorization: Basic <BASE64_ENCODED_CONSUMER_KEY_AND_CONSUMER_SECRET_OF_YOUR_APP_HERE>' \
--header 'Content-Type: application/x-www-form-urlencoded' \
--data-urlencode 'grant_type=client_credentials' \
--data-urlencode 'orgHandle=<YOUR_ORG_HANDLE_HERE>' \
--data-urlencode 'scope=apim:api_manage'
!!! info
To get your organization handle name, you must sign in to https://console.choreo.dev, go to Settings, and click Copy Handle.
This token can then be used to access the Insights API exposed via https://choreocontrolplane.choreo.dev/93tu/insights/1.0.0/query-api.
A sample curl command to invoke the Insights API is shown below.
curl --location --request POST 'https://choreocontrolplane.choreo.dev/93tu/insights/1.0.0/query-api' \
--header 'Content-Type: application/json' \
--header 'Authorization: Bearer <TOKEN_HERE>' \
--data-raw '{""query"":""query ($org: OrgFilter!) {listEnvironments(org: $org){id\n name}}"",""variables"":{""org"":{""orgId"":""<ORG_UUID_HERE>""}}}'
!!! tip
When the token expires, you can generate a new token programmatically by making an API call to the token endpoint via the client credentials grant.
 If a token theft occurs, the relevant token can be revoked by making an API call to the revoke-endpoint.
 ![Endpoints](../../assets/img/insights/endpoints.png){.cInlineImage-full}",https://wso2.com/choreo/docs/observe-and-analyze/analyze/programmatic-access-choreo-insights-api/,875,D11
Webhook,Webhook,Explore how you can create event-driven integrations with Choreo Webhooks.,https://wso2.com/choreo/docs/develop/components/webhook/,18,D12
Configure Enterprise Login,Configure Enterprise Login,Choreo's Enterprise Login feature allows your users residing in an external IdP (Identity Provider) to login into Choreo seamlessly without changing their credentials.This guide takes you through the steps you need to follow to configure an enterprise login for your organization in Choreo.,https://wso2.com/choreo/docs/administer/configure-enterprise-login/,57,D13
Get Started with Choreo iPaaS,Get Started with Choreo iPaaS,"
Choreo iPaaS provides integration capabilities to connect different systems, applications, or services to exchange data and information. You can create integrations between a variety of technologies, including APIs, messaging systems, and integration platforms. The goal of integration is to create a seamless user experience and improve the efficiency and effectiveness of business operations.Choreo provides Integrations developed in Ballerina and integrations based on WSO2 Micro Integrator.For more information, see the following topics:Develop Integrations with Ballerina
Develop Integrations with the Micro Integrator",https://wso2.com/choreo/docs/ipaas/get-started-with-choreo-ipaas/,115,D14
Pricing,Pricing,"

h2 -> Introduction
Choreo is a Digital Platform as a Service that helps you develop integration solutions faster by reducing the coding effort with a low-code development platform.The pricing for your Choreo deployment is mainly determined based on the following:The number of components
You can deploy up to five free components ((i.e., any combination of component types), and pay for each additional component.
Infrastructure cost
The infrastructure cost consists of the charges to Choreo by the cloud platform for vCPU, RAM, storage, ingress, egress, and network. Choreo provides $100 worth of infrastructure free of charge to each organization.
If the infrastructure cost of an organization on the Free plan exceeds $100, Choreo will limit some of the services it provides to it (e.g., some components might be deactivated).
If the infrastructure cost of an organization on the Pay As You Go plan exceeds $100, it can pay the additional infrastructure charges to the cloud platform vendor.
If the infrastructure cost of an organization on the Enterprise plan exceeds $100, it can pay the additional infrastructure charges to the Choreo Sales Team.
h2 -> Plans
Choreo currently supports the following payment plans:FreeThe free tier allows you to create up to five free components. These five components can be any combination of component types.Choreo allocates up to a maximum of 2x vCPUs and 4 GB RAM infrastructure resources to your component workloads.You can enjoy the free tier with limitations and then move on to the Pay-As-You-Go plan if you want to create over five components.Pay As You GoThis plan requires you to pay the following:$150 per component (except for the first five components) on a monthly basis.
Any additional infrastructure costs incurred (i.e., if the infrastructure cost is over $100).This plan does not require you to pay an annual fee. You can create up to 30 components (i.e., any combination of component types).If the number of components you need to create exceeds 30 or if your annual spend exceeds $50,000, we recommend that you change your pricing plan to Enterprise.EnterpriseThis plan allows you to pay an annual subscription of $50,000 or more (as agreed) and create up to 50 components (i.e., any combination of component types). If you need to create over 50 components, contact the Choreo sales team.The following table summarizes the cost of each plan:
h3 -> Features
This section summarizes the features supported for each plan:
h4 -> Developer and operational
Choreo supports the following developer and operational features for all the plans:Managing the source code via a GitHub repository
Continuous integrations (CI)
Continuous delivery (CD)
Deployments to cloud platforms are supported for the three plans as follows:
Free
Pay As You Go
Enterprise
Azure
AzureAWSGCPVMWareOpenShiftTanzuAny Kubernetes cluster
AzureAWSGCPVMWareOpenShiftTanzuAny Kubernetes cluster
h4 -> Integration and automation
Choreo supports the following integration and automation components for all the plans:Triggers
Scheduled jobsIn addition, Choreo supports 500+ out-of-the-box connectors for integration and automation for all the plans.
h4 -> AI-assisted development
Choreo supports the following AI-assisted development features for all the plans:Performance predictions
Intelligent data mapping
Smart code assistance
Anomaly detection
h4 -> API management
Choreo supports the following API management features for all the plans:
h4 -> Monitoring and observability
Choreo supports monitoring and observability features for each plan as follows:
h4 -> Security
Choreo supports the following security features for all the plans:SSO for API Developer Portal
Enterprise login
Container manifest scanning
Container static scanning
Run-time container security
h3 -> Support
Community support is available for all three plans. In addition, paid support is available for Pay As You Go and Enterprise plans.",https://wso2.com/choreo/docs/reference/pricing/,864,D15
Configure Automatic Deployment,Configure Automatic Deployment,"Automatic deployment allows you to trigger a build every time you edit your component implementation and commit changes.When multiple developers collaborate to develop a component, each developer may edit the design many times. In such scenarios, it can be cumbersome to deploy the component manually for each edit. Automatic deployment eliminates this need by automatically running the build for each commit that applies a change to the component design.!!! note
Choreo allows you to configure automatic deployment only when you save the component implementation in a GitHub repository that you own and manage because Choreo-managed repositories are not accessible to external users.This tutorial walks you through the steps to enable automatic deployment for a component. In this tutorial, you will:Configure automatic deployment for a REST API.
Commit updates to the REST API implementation and observe automatic builds.",https://wso2.com/choreo/docs/deploy/configure-automatic-deployment/,164,D16
Create Your First Integration as an API,Create Your First Integration as an API,"An integration component integrates APIs, microservices, applications, and data in different languages and formats.Consider a scenario where a developer has created an integration in WSO2 Integration Studio and wants to use it for API-led integration by exposing it in Choreo. In this tutorial, you will learn how to do the following actions to address this requirement:Expose an integration created in WSO2 Integration Studio as an API in Choreo by connecting the GitHub repository in which it resides to Choreo.
Deploy the Integration component to the development environment.
Test the Integration component.
Observe statistics for the Integration component.
Publish the Integration component and try it out in the production environment.For this tutorial, let's use a basic sample application to expose a proxy service developed in the WSO2 Integration Studio.!!! tip ""Before you begin!""
To try this tutorial, you can use a sample integration designed via WSO2 Integration Studio.To do this, fork the choreo-examples GitHub repository.",https://wso2.com/choreo/docs/get-started/tutorials/create-your-first-integration-as-an-api/,209,D17
Marketplace,Marketplace,"
The Marketplace is an interface provided by Choreo that allows the reuse of APIs by publishing them as connectors. It offers a range of default connectors and triggers that you can use to design your Cloud-native applications. You can purchase them, acquire them via a Freemium account, or find them free of charge. Similarly, you can publish an API or a trigger you developed to be purchased, acquired via Freemium or used free of charge by other Choreo users.By enabling the reuse of APIs, Choreo addresses the need of modern businesses to focus more on developing applications with unique functionality, and save resources by acquiring the components they need from another party who has already developed them instead of creating them from scratch.Let's explore the Marketplace.
h2 -> Access the Marketplace
To access the Marketplace, open the Choreo Console and click Marketplace in the left navigator.The Marketplace opens displaying the pre-built connectors designed and published by Choreo.{.cInlineImage-full}If you want to view the triggers published by Choreo, click on the Triggers tab.{.cInlineImage-full}If you want to filter the connectors and triggers published by your organization, click My Organization under Filter By.In addition to the connectors and triggers by Choreo displayed above, you can find a range of connectors and triggers designed and published by other vendors. Let's proceed to the next sections to find the connectors and triggers that meet the requirements of the applications you build.
h2 -> Filter by category
If you want to filter connectors and triggers by a specific domain, click on the required category (e.g., Finance), and then click on the required subcategory (e.g., Accounting).The results appear filtered by this selection as shown below.{.cInlineImage-full}
h2 -> Filter by price
To filter connectors and triggers based on whether they are free, acquirable via Freemium, or paid, select the required checkbox under{.cInlineImage-full}
h2 -> Search for connectors/triggers
You can search for the required connector via the **Search field at the top of the page.
h2 -> View connector/trigger details
Once you populate the Marketplace page by filtering or searching for connectors and triggers, you can view the following for each connector/trigger in the list:A brief description of the functionality
A label indicating the category
A label indicating whether the connector/trigger is free, acquirable via Freemium, or paid
The vendor
The date on which it was published
The number of instances the connector/trigger is usedYou can also sort the list by the newest or the most used connectors/triggers.If you want to view more information about a specific connector on the list, click on it. This directs you to an overview page with information about versions and compatibility, and links for reporting issues, accessing API documentation, contacting the vendor, etc.
h2 -> Use a connector in your component design
When you design your components in the low-code view, you can search and add the connectors displayed in the Marketplace as follows:Open the component you are designing in the VS Code Editor and add a connector.
{.cInlineImage-half}
Search for the connector you need to add (e.g., World Bank), and click on it to add it.
{.cInlineImage-half}If the connector is not available by default, you need to visit the vendor portal, make a payment/provide your Freemium account details if required, and access the required authorization tokens beforehand.e.g., If you need to use the Azure SQL DB connector, you need to create an Azure account and obtain an authorization token.
h2 -> Update a connector
If you want to introduce a change to your component and update the connector you published for it, you need to explicitly republish the connector. To learn more on how to update a connector, see Use a Connector in Your Component.",https://wso2.com/choreo/docs/marketplace/,836,D18
Configure Alerts,Configure Alerts,"
This section shows how you can configure alerts for your API manager deployments. These alerts allow you to proactively monitor your API ecosystem and take corrective measures for any abnormalities you find.You can configure alerts for each environment within your organization. You can configure and add new, modify, or delete alerts per API. Optionally, you can specify a list of emails for each alert configuration.Alerts are subject to a suppression policy to ensure that you do not receive duplicate alert notifications within a specific time interval. A 10-minute suppression window is applied by default, and it is not configurable at present. Note that the suppression policy is applicable per alert configuration.!!! info
- The maximum number of alerts that can be configured is 20 for each organization, environment, and tenant combination.
- Adding an email to an alert configuration is optional. The maximum number of emails per alert configuration is limited to 5.The alert can be a latency alert or a traffic alert.
h2 -> Latency alerts
Configure latency alerts to be notified if the response latency of APIs is greater than a predefined threshold. This is useful when you have APIs that should honor SLAs and when you want to know about slow APIs proactively.To configure a new latency alert, follow the steps below:In the Insights page, click Alert Configuration to open the Alert Configuration page.
{.cInlineImage-full}
The Latency tab is open by default.
Verify that you are in the correct organization, and select the required environment.
In the API Name field, select the API for which you want to configure the alert.
!!! Info
Only the APIs that you have invoked at least once are listed here. For other APIs, you need to give the API name in the required format as instructed in the UI.
In the Metric field, select the required metric against which you want to evaluate the alert configuration.
!!! tip
The list includes all available options. If there are multiple metrics, you can select the required metric. If there is only one metric to select, that metric is selected by default, and the field is disabled.
In the Latency field, specify the threshold in milliseconds.
!!! info
When the 95th percentile of the selected metric exceeds the threshold provided here, alerts are triggered.
If required, specify the list of emails that should be notified when the alert is generated in the Emails field.
Click Add.Once an alert is successfully added, the alert configuration  is displayed in the table in the lower section of the page. Each configuration can be edited and removed using this table. If multiple emails are configured, they are displayed in a comma-separated list.
h2 -> Traffic alerts
Configure Traffic alerts to identify if the request count of APIs is greater than a predefined threshold. This is useful when you have APIs that are using backends with traffic limits or monetized backends that require your system to proactively scale depending on the incoming traffic.To configure a new traffic alert, follow the steps below:In the Insights page, click Alert Configuration to open the Alert Configuration page.
Click Traffic to open the Traffic tab.
Verify that you are in the correct organization, and select the required environment.
In the API Name field, select the API for which you want to configure the alert.
!!! Info
Only the APIs that you have invoked at least once are listed here. For other APIs, you need to give the API name in the required format as instructed in the UI.
In the Metric field, select the required metric against which you want to evaluate the alert configuration.
!!! tip
The list includes all available options. If there are multiple metrics, you can select the required metric. If there is only one metric to select, that metric is selected by default, and the field is disabled.
In the Threshold field, specify the threshold number of requests per minute.
If required, specify the list of emails that should be notified when the alert is generated in the Emails field.
Click Add.When added successfully, the alert configuration is displayed in the table in the lower section of the page. Each configuration can be edited and removed using this table. If multiple emails are configured, they are displayed in a comma-separated list.",https://wso2.com/choreo/docs/observe-and-analyze/analyze/configure-alerts/,883,D19
Develop Integrations with the Micro Integrator,Develop Integrations with the Micro Integrator,"Choreo iPaaS offers a platform for developing and deploying integrations with ease. With the Integration Studio, developers can create integrations using WSO2 Synapse and deploy them in a Micro Integrator (MI) runtime. Choreo iPaaS provides a centralized management system for integrations, making deployment and maintenance simple.",https://wso2.com/choreo/docs/ipaas/micro-integrator/develop-integrations-with-integration-studio/,68,D20
Define Configurable Variables,Define a configurable with a default value,"When you add a configurable to your component in the Web Editor, you can enter a specific value as the configurable value instead of ? as shown below.configurable <VARIABLE_TYPE> <VARIABLE_NAME> = <DEFAULT_VALUE>e.g., If you want to add a configurable named password of which the value should be in string format with secret as the default value, you can add the configurable statement as follows:configurable string password = ""secret"";",https://wso2.com/choreo/docs/develop/explore-code-editor/define-configurable-variables/,105,D21
Deploy Your Component,Deploy Your Component,"
Deploying your component on Choreo makes it invokable. Once you have designed, tested, and committed the REST API, you can deploy it.To deploy a component, follow the steps below:Click the Deploy icon.
Automatic Deployment is enabled by default. If you want do not want Choreo to automatically deploy the component after each commit that edits its implementation, you can disable automatic deployment,
Then in the Build Area card, click Deploy Manually.
!!! info
Choreo requires you to perform the first deployment of each component manually so that you can provide values for any configurable variables that the implementation may include.
{.cInlineImage-full}
You can view the progress of the deployment from the console.
{.cInlineImage-full}Once you deploy the component, the Development card indicates that it is active.{.cInlineImage-full}Now you can test your deployed component to check if it is working as expected.",https://wso2.com/choreo/docs/deploy/deploy-your-component/,207,D22
What is Choreo?,What is Choreo?,"
Today, with the growth of the global API ecosystem, APIs have become an essential part of modern engineering. Therefore, it has become necessary for organizations to participate in this global API supply chain by consuming and producing APIs. The adoption of cloud and microservices-based distributed architecture has also become increasingly significant, causing more and more organizations to rapidly evolve and look for innovative ways to build their digital business ecosystem. This has led to the need for a state-of-the-art iPaaS that can address the complex challenges that organizations face when connecting applications, systems, and data to build integrations and expose those integrated services to internal and external consumers in a future-proof manner.Choreo, a versatile and comprehensive platform for low-code, cloud-native engineering, provides the following advantages:An AI-assisted, low-code application development environment that can help developers build enterprise-class integrations faster while ensuring best practices and secure coding guidelines.
Developers can switch between a visual low-code and typical code environment and select the experience that best supports a given situation.
Even without expert-level coding skills, Choreo's low-code environment empowers developers to build applications with ease. It also provides capabilities to collaborate and improve these applications as needed.
Its low-code application development platform auto-generates editable and version-controlled code and maintains it in GitHub. This makes it possible to apply the engineering rigor required for enterprise applications on low-code.
API management capabilities to develop APIs and get them to production. Choreo’s API Publisher Portal allows API developers to design, publish, and manage the lifecycle of APIs whereas the API Developer Portal allows consumers to consume APIs.
Realistic DevOps with versions, environments, CI/CD pipelines, and automation tests.
Deep observability to trace your executions from the code statement level to the machine on which those run.",https://wso2.com/choreo/docs/get-started/what-is-choreo/,389,D23
Develop Integrations with Ballerina,Develop Integrations with Ballerina,"
Ballerina is a programming language for developing integration. It provides a comprehensive collection of features and tools for building and deploying integrations. Being a modern and cloud-native language, it is simple, efficient, expressive, and offers a clean syntax. Ballerina provides a range of built-in libraries and tools that enables applications to connect with a variety of services and data sources, including APIs, databases, and messaging systems. It also supports deployment on various platforms, including cloud and on-premises environments.WSO2 Ballerina-based integrations provide several advantages over traditional integration solutions. The following are a few of them:Ballerina provides a unified programming model for integrating different systems and services. Therefore, developers need to learn only one language and one set of tools. This makes it easier to build and deploy integrations.
Ballerina provides a range of security and performance features that make it easier to ensure the security and reliability of integrations.
Ballerina provides a cloud-native deployment model making it easier to deploy and manage integrations on the cloud.
h2 -> Integration types
Choreo supports the following types of integrations:Integration as an API: These integrations are exposed as APIs using HTTP.
Event-triggered Integration: Integrations that are triggered by external events.
Scheduled Integration: Integrations that are triggered automatically at scheduled time intervals
Manually-triggered Integration: Integrations that you need to trigger manually.
h2 -> Develop with VS Code Studio
Visual Studio Code (VS Code) is a versatile code editor that provides a rich user interface for developing integrations
using Ballerina. Ballerina is a modern programming language designed specifically for integration, and the Ballerina
extension for VS Code adds a range of features and tools that help developers create high-quality integrations.With the Ballerina extension for VS Code, developers can take advantage of Ballerina-specific features, including syntax
highlighting, code completion, error checking, and debugging. The integrated debugger provides an easy-to-use interface
for identifying and resolving issues with your integrations. The built-in terminal also provides a convenient way to run
commands and test your integrations.The Ballerina extension for VS Code also provides a range of user interface elements, including visual diagrams and code
snippets, which make it easier for developers to create and manage their integrations. The visual diagrams provide a
visual representation of your integrations, making it easier to see how different systems and services are connected.",https://wso2.com/choreo/docs/ipaas/ballerina/develop-integrations-with-ballerina/,532,D24
Create a Policy,Create a Policy,"You can use policies to enforce some business logic on the Request, Response, or Fault flow of an API invocation. Using policies, you can make API invocations undergo slight behavioral modifications before reaching the backend. Similarly, you can modify the API response that a client receives. In Choreo, you can add an API Policy only to an API Proxy.A policy can be implemented as a Ballerina project and attached to an API Proxy. To create a policy, follow the steps given below:",https://wso2.com/choreo/docs/develop/api-policies/create-a-policy/,100,D25
Create Your First Webhook,Create Your First Webhook,"Choreo’s low-code editor allows developers to easily design (and then implement) high-quality webhooks. To explore this capability, let's consider a scenario where a team of software engineers in an organization wants to be notified via email whenever someone creates a GitHub issue with the bug label in a specific repository.In this tutorial, you will address this requirement by doing the following:Create a webhook component by connecting to your GitHub repository that includes the implementation of the webhook that addresses the described requirement.
Deploy the webhook you created to the development environment.
Modify the webhook implementation to connect the webhook implementation to GitHub, enabling it to act in response to selected GitHub-related events.
Test the webhook.
Promote the webhook to the production environment.",https://wso2.com/choreo/docs/get-started/tutorials/create-your-first-webhook/,164,D26
Connect to an External Identity Provider,Connect to an External Identity Provider,"Choreo uses an in-built Identity Provider (IdP) by default to manage OAuth 2.0 clients and generate tokens required to authenticate Choreo APIs. Choreo also allows users with administrator privileges to configure an external authorization server as an IdP via the Choreo Console (for example, Okta). As an administrator, you can add one or more external identity providers to your Choreo organization and obtain a JSON Web Token (JWT) from the identity provider to exchange for a Choreo access token to invoke APIs. This capability allows you to expose your APIs to users who reside in an external user store.",https://wso2.com/choreo/docs/administer/connect-to-an-external-identity-provider/,132,D27
Subscribe to an API,Subscribe to an API,"
Subscribing an API to an application allows Choreo to authenticate the APIs requests with the application keys. You have to subscribe to a published API to an application to invoke it using the application credentials.Alternatively, you can generate credentials for an API without an explicit subscription to an application. However, this will not let you control advanced configuration such as access token expiry time, revoke token expiry time, ID token expiry time, and enabling access to the API without a secret. Generating keys in the API is recommended for testing or short-term usage but not for long-term production usage.This guide takes you through the steps to subscribe to APIs in Choreo.Let's get started!Sign in to Choreo Developer Portal at https://devportal.choreo.dev. Alternatively, click on the Developer Portal link on the Choreo console header.
{.cInlineImage-half}
Click Applications.
Select and click on the application you want to subscribe to from the list.
Click Subscriptions from the left panel.
Click + Add APIs.
Select the usage plan and click Add to subscribe to an API.  You can subscribe to multiple APIs. You can change the usage plan after subscription as well.
{.cInlineImage-half}You can now invoke the API using the application keys.",https://wso2.com/choreo/docs/consume/manage-subscription/,282,D28
